7/1/2020,558
7/2/2020,597
7/3/2020,571
7/4/2020,314
7/5/2020,122
7/6/2020,548
7/7/2020,247
7/8/2020,482
7/9/2020,753
7/10/2020,703
7/11/2020,440
7/12/2020,318
7/13/2020,166
7/14/2020,657
7/15/2020,553
7/16/2020,572
7/17/2020,413
7/18/2020,232
7/19/2020,239
7/20/2020,192
7/21/2020,145
7/22/2020,603
7/23/2020,302
7/24/2020,243
7/25/2020,238
7/26/2020,224
7/27/2020,79
7/28/2020,240
7/29/2020,232
7/30/2020,235
7/31/2020,278
8/1/2020,280
8/2/2020,222
8/3/2020,247
8/4/2020,335
8/5/2020,273
8/6/2020,202
8/7/2020,232
8/8/2020,224
8/9/2020,122
8/10/2020,122
8/11/2020,229
8/12/2020,296
8/13/2020,172
8/14/2020,297
8/15/2020,152
8/16/2020,138
8/17/2020,136
8/18/2020,265
8/19/2020,350
8/20/2020,303
8/21/2020,291
8/22/2020,206
8/23/2020,81
8/24/2020,96
8/25/2020,154
8/26/2020,127
8/27/2020,100
8/28/2020,122
8/29/2020,68
8/30/2020,9
8/31/2020,118
9/1/2020,82
9/2/2020,7
9/3/2020,99
9/4/2020,104
9/5/2020,128
9/6/2020,77
9/7/2020,38
9/8/2020,69
9/9/2020,86
9/10/2020,82
9/11/2020,218
9/12/2020,101
9/13/2020,53
9/14/2020,123
9/15/2020,75
9/16/2020,185
9/17/2020,142
9/18/2020,109
9/19/2020,163
9/20/2020,63
9/21/2020,3
9/22/2020,155
9/23/2020,47
9/24/2020,102
9/25/2020,159
9/26/2020,169
9/27/2020,57
9/28/2020,122
9/29/2020,91
9/30/2020,78
10/1/2020,93
10/2/2020,62
10/3/2020,71
10/4/2020,103
10/5/2020,49
10/6/2020,58
10/7/2020,95
10/8/2020,45
10/9/2020,78
10/10/2020,90
10/11/2020,34
10/12/2020,66
10/13/2020,133
10/14/2020,101
10/15/2020,102
10/16/2020,87
10/17/2020,109
10/18/2020,111
10/19/2020,48
10/20/2020,97
10/21/2020,106
10/22/2020,69
10/23/2020,99
10/24/2020,84
10/25/2020,82
10/26/2020,58
10/27/2020,102
10/28/2020,122
10/29/2020,76
10/30/2020,92
10/31/2020,81
11/1/2020,119
11/2/2020,77
11/3/2020,83
11/4/2020,148
11/5/2020,154
11/6/2020,143
11/7/2020,180
11/8/2020,88
11/9/2020,152
11/10/2020,214
11/11/2020,177
11/12/2020,210
11/13/2020,191
11/14/2020,244
11/15/2020,300
11/16/2020,108
11/17/2020,157
11/18/2020,251
11/19/2020,306
11/20/2020,290
11/21/2020,368
11/22/2020,191
11/23/2020,261
11/24/2020,318
11/25/2020,366
11/26/2020,118
11/27/2020,214
11/28/2020,214
11/29/2020,232
11/30/2020,147
12/1/2020,332
12/2/2020,380
12/3/2020,280
12/4/2020,230
12/5/2020,299
12/6/2020,359
12/7/2020,284
12/8/2020,272
12/9/2020,355
12/10/2020,256
12/11/2020,427
12/12/2020,382
12/13/2020,235
12/14/2020,305
12/15/2020,415
12/16/2020,613
12/17/2020,367
12/18/2020,545
12/19/2020,415
12/20/2020,274
12/21/2020,422
12/22/2020,537
12/23/2020,672
12/24/2020,375
12/25/2020,377
12/26/2020,377
12/27/2020,378
12/28/2020,216
12/29/2020,527
12/30/2020,697
12/31/2020,546
1/1/2021,401
1/2/2021,482
1/3/2021,963
1/4/2021,398
1/5/2021,752
1/6/2021,564
1/7/2021,663
1/8/2021,879
1/9/2021,592
1/10/2021,464
1/11/2021,478
1/12/2021,477
1/13/2021,730
1/14/2021,731
1/15/2021,1108
1/16/2021,690
1/17/2021,295
1/18/2021,403
1/19/2021,686
1/20/2021,834
1/21/2021,734
1/22/2021,715
1/23/2021,540
1/24/2021,367
1/25/2021,305
1/26/2021,544
1/27/2021,702
1/28/2021,650
1/29/2021,707
1/30/2021,454
1/31/2021,270
2/1/2021,441
2/2/2021,677
2/3/2021,681
2/4/2021,542
2/5/2021,533
2/6/2021,262
2/7/2021,197
2/8/2021,208
2/9/2021,448
2/10/2021,346
2/11/2021,347
2/12/2021,287
2/13/2021,279
2/14/2021,0
2/15/2021,0
2/16/2021,0
2/17/2021,0
2/18/2021,0
2/19/2021,0
2/20/2021,0
2/21/2021,0
2/22/2021,271
2/23/2021,397
2/24/2021,392
2/25/2021,237
2/26/2021,212
2/27/2021,315
2/28/2021,255
3/1/2021,19
3/2/2021,265
3/3/2021,187
3/4/2021,186
3/5/2021,91
3/6/2021,82
3/7/2021,60
3/8/2021,131
3/9/2021,104
3/10/2021,113
3/11/2021,227
3/12/2021,149
3/13/2021,98
3/14/2021,79
3/15/2021,77
3/16/2021,184
3/17/2021,106
3/18/2021,56
3/19/2021,85
3/20/2021,95
3/21/2021,97
3/22/2021,85
3/23/2021,115
3/24/2021,64
3/25/2021,124
3/26/2021,106
3/27/2021,59
3/28/2021,167
3/29/2021,79
3/30/2021,87
3/31/2021,91
4/1/2021,132
4/2/2021,107
4/3/2021,98
4/4/2021,71
4/5/2021,76
4/6/2021,76
4/7/2021,142
4/8/2021,135
4/9/2021,109
4/10/2021,101
4/11/2021,140
4/12/2021,174
4/13/2021,87
4/14/2021,109
4/15/2021,157
4/16/2021,110
4/17/2021,93
4/18/2021,136
4/19/2021,61
4/20/2021,143
4/21/2021,128
4/22/2021,81
4/23/2021,49
4/24/2021,86
4/25/2021,53
4/26/2021,72
4/27/2021,95
4/28/2021,151
4/29/2021,95
4/30/2021,105
5/1/2021,82
5/2/2021,63
5/3/2021,46
5/4/2021,78
5/5/2021,40
5/6/2021,92
5/7/2021,75
5/8/2021,82
5/9/2021,67
5/10/2021,19
5/11/2021,101
5/12/2021,60
5/13/2021,83
5/14/2021,56
5/15/2021,60
5/16/2021,35
5/17/2021,35
5/18/2021,35
5/19/2021,37
5/20/2021,54
5/21/2021,38
5/22/2021,29
5/23/2021,23
5/24/2021,23
5/25/2021,23
5/26/2021,23
5/27/2021,34
5/28/2021,43
5/29/2021,29
5/30/2021,11
5/31/2021,11
6/1/2021,11
6/2/2021,10
6/3/2021,65
6/4/2021,48
6/5/2021,32
6/6/2021,17
6/7/2021,17
6/8/2021,18
6/9/2021,85
6/10/2021,25
6/11/2021,32
6/12/2021,34
6/13/2021,34
6/14/2021,34
6/15/2021,34
6/16/2021,34
6/17/2021,29
6/18/2021,41
6/19/2021,10
6/20/2021,10
6/21/2021,10
6/22/2021,9
6/23/2021,84
6/24/2021,42
6/25/2021,25
6/26/2021,37
6/27/2021,13
6/28/2021,13
6/29/2021,13
6/30/2021,96
7/1/2021,22
7/2/2021,42
7/3/2021,72
7/4/2021,12
7/5/2021,12
7/6/2021,11
7/7/2021,11
7/8/2021,159
7/9/2021,80
7/10/2021,72
